country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","19-03-2026 16:00:00",27.103358,93.679645,PM10,24,51,36
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","19-03-2026 16:00:00",26.071318,91.87488,PM2.5,47,233,95
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","19-03-2026 16:00:00",26.071318,91.87488,PM10,44,137,76
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","19-03-2026 16:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","19-03-2026 16:00:00",26.071318,91.87488,SO2,11,32,31
India,Assam,Guwahati,"IITG, Guwahati - PCBA","19-03-2026 16:00:00",26.2028636,91.70046436,PM2.5,19,50,31
India,Assam,Guwahati,"IITG, Guwahati - PCBA","19-03-2026 16:00:00",26.2028636,91.70046436,SO2,31,36,33
India,Assam,Guwahati,"IITG, Guwahati - PCBA","19-03-2026 16:00:00",26.2028636,91.70046436,CO,5,8,6
India,Assam,Guwahati,"IITG, Guwahati - PCBA","19-03-2026 16:00:00",26.2028636,91.70046436,OZONE,5,39,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","19-03-2026 16:00:00",26.10887,91.589544,PM2.5,41,150,97
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","19-03-2026 16:00:00",26.10887,91.589544,PM10,39,125,91
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","19-03-2026 16:00:00",26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","19-03-2026 16:00:00",26.187500,91.744194,CO,17,22,19
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","19-03-2026 16:00:00",26.181742,91.78063,PM2.5,24,57,41
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","19-03-2026 16:00:00",26.181742,91.78063,PM10,18,44,30
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","19-03-2026 16:00:00",26.349082,92.68449,OZONE,15,24,18
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","19-03-2026 16:00:00",26.446912,91.439057,SO2,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","19-03-2026 16:00:00",26.446912,91.439057,OZONE,8,16,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","19-03-2026 16:00:00",26.987634,94.636574,PM10,19,27,22
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","19-03-2026 16:00:00",26.146529,87.454184,PM2.5,15,197,68
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","19-03-2026 16:00:00",14.675886,77.593027,NH3,NA,NA,NA
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","19-03-2026 16:00:00",16.711754,81.092095,CO,24,75,26
